rate,comment
width: 20%;,"Máy ko bat duoc wifi trong nhà dù tat ca dt trong nhà deu bat duoc wifi , de ke cuc wifi van ko bat duoc, scan mã trong dt ko duoc báo la het thoi gian ket noi. That la that vong voi camera nay goi len de ho tro ki thuat thi doi het buoi toi van chua thay kt goi lai doi ngay mai xem kt cua tiki co goi lai ko?  Minh lap may tu 6g tôi den 9g van chua thay kt lien lac voi minh, that su qua that vong camera nay. Chi cho 1 sao ve giao hang tiki thay giao som hon du ddinh ngay giao là thay nghi nghi roi dat tiki vao tôi cn thay app noi giao hàng vao t5 mà da giao vao t2 la thay nghi nghi roi . Co the may bi lôi nen giao som, that vong ve hàng tiki lan nay"
width: 20%;,"mua camera từ 22/01 đến nay 21/03 chỗ mình cúp điện lưới 2 lần, lần nào cúp xong có lại cam đều bị lỗi kết nối, lần chớp chớp đèn xanh, lần thì đèn xanh sáng, khi vào úng dụng thì vẫn báo offline. mình muốn đổi trả hoặc bảo hành"
width: 40%;,setup đơn giản xem ok rồi khi test cùng mạng wifi ở nhà nhưng giờ đi làm xem qua 3g hay là wifi khác thì đều k xem đc toàn load 5%. Có ai bị lỗi này hướng dẫn mình với ạ. còn camera giá này hình ảnh cũng ok
width: 40%;,"Không hài lòng về cách mà đại lý làm việc với hãng trong vấn đề đổi trả sản phẩm cho khách hàng. Báo lỗi sản phầm gần cả tuần mà không thấy cả hãng với Tiki giải quyết vấn đề cho khách. Phải để khách hàng gọi lên tổng đài 4 5 lần, khách hàng thắc mắc thì tổng đài viên báo đã báo hãng, còn hãng gọi thì hẹn khách 2 3 ngày không thấy thu hồi hay hồi âm gi cho khách, không báo cho khách thời gian cụ thể, cách giải quyết vấn đề ra sao. Ở đây trách nhiệm của Tiki là ở đâu, có bảo vệ khách hàng không? Làm việc kiểu phó thác, không có trách nhiệm."
width: 20%;,"Tôi đặt mua và nhận camera này nhưng không quét được mã QR code , bên Tiki đã đổi cho 1 sản phẩm khác tuy nhiên vẫn không thể quét được mặc dù đã chụp ảnh QR code và phóng to ra để quét theo một số comment khác. Mất rất nhiều thời gian nhưng không sử dụng được sản phẩm, đáng nhẽ trước khi đổi camera cho tôi bên Tiki nên test thử trước khi giao hàng. Tôi muốn trả lại hàng!"
width: 20%;,"Mình vừa nhận sản phẩm này sáng nay, đã connect thành công nhưng nếu sử dụng chức năng xoay camera thì sẽ dính lỗi tự động tắt dù nguồn vẫn cắm, ấn nút reset camera khởi động lại có sáng đèn nhưng khi phần ống kính di chuyển đến 1 vị trí nhất định sẽ tự tắt, không thể kết nối được nữa."
width: 20%;,"Mình mới mua giao nhanh chiều nay (mua chung với thẻ nhớ Samsung 64GB chính hãng), Camera cài đặt bị lỗi nên mất hơn 1 tiếng vẫn ko cài đặt được. Mặc dù để sát modem wifi lúc cài đặt nhưng Camera không có cách nào nhận diện được mã QR, ngoài ra khe cắm thẻ nhớ bị lỗi, cắm vào bị cứng luôn, không có cách nào lấy ra được."
width: 20%;,Hiện mình kết nối với camera mà thấy có sđt cũ chứng tỏ đã được sử dụng. Quyển hướng dẫn toàn thấy giới thiệu sản phẩm mà ko có hướng dẫn cài đặt kết nối. Kết nối mãi mà ko được. Mong tiki đổi trả lại hàng cho mình
width: 20%;,"Camera mua về kết nối, sử dụng được bình thường. Nhưng được khoảng 30p-1tiếng  thì camera tự tắt luôn, mình thử reset lại rất nhiều lần mà không được, liên hệ Tiki thì bảo đợi trong 48h, mình đang gắp mong được hỗ trợ đổi trả sớm."
width: 40%;,e mới nhận hàng sáng nay 2 cái mà lúc đang cài cái đầu tiên xong thì thấy bái phiên vản mới sau khi e cập nhật xong thì nó bị lỗi treo đèn vàng ko thể kết nối được. vậy shop cho hỏi cái này xử lý thế nào hay đổi lại cái mới
width: 20%;,2 sản phẩm mua cùng lần đều bị hiện tượng đen màn hình khi điều chỉnh góc quay camera cũng như coi lại video. Mặc dù đã reset thiết bị nhiều lần những vẫn bị hiện tượng trên. Thật sự rất là bất tiện
width: 40%;,"Hàng giao nhanh (một phần vì trả phí), đóng gói gọn! Về kích hoạt thì không thành công! Thử bằng dây jack khác ở nhà thì ok! Gọi điện hotline phản ánh đề nghị sửa chữa bảo hành mà hai hôm rồi không thấy phản hồi dù đã gọi lại lần thứ 2!"
width: 40%;,Sau khi dùng 1 ngày thì camera bên mình bị lỗi không kết nối được..sau reset lại camera thì không thể kết nối với mạng trong khi đó điện thoại vẫn kết nối mạng bình thường..Mong tiki xem xét giúp mình về trường hợp này
width: 20%;,"Mới mua đã bị lỗi, cắm nguồn vào đèn vàng bị đơ không chớp gì cả, reset cả chục lần vẫn không được. Đã gọi lên tổng đài nhưng báo phải đợi kỹ thuật kiểm tra 1-2 ngày. Đang cần gấp mà thế này. Thất vọng với hàng điện tử củ Tiki."
width: 40%;,"Tiki hỗ trợ giúp mình! Mình mua 2 sản phẩm này về, xem tầm 3,4 ngày đầu rất ổn, nhưng sau đó bị lỗi ""ngoại tuyến"" mặc dù đã kiểm tra nguồn điến, wifi! Nhờ tiki xem xét hỗ trợ đổi sản phẩm mới!"
width: 40%;,Mình mua về nhưng không kết nối được dù add device trên Mi Home rồi. Không biết nhờ ai khắc phục được. Trên Mi Home vẫn tháo thiết bị có online nhưng khi bấm vào chờ rất lâu sau đó báo could not connect to camera!
width: 40%;,Trước đây đã từng mua 2 cái xiaomi đúng loại này thì có đủ cục sạc. Nay mua thêm 2 cái khác nữa chỉ có cáp nên không thể sử dụng được ngay mà phải đi tìm mua thêm 2 cục sạc. Thật bất tiện.
width: 20%;,"Cửa hàng dùng wifi tốc độ cao, nhưng hỉnh luôn bị giật trong 2s 1 lần. Đây là cái camera thứ 2 sử dụng nên mình biết chắc chắn có vấn đề! Ai support được không? Bảo hành thế nào ạ"
width: 20%;,"hình ảnh bị ám đỏ. điều kiện ánh sát ban ngay vẫn bị. tôi muốn được hướng dẫn cách cấu hình hình anh nếu do phần mêm, còn do phần cứng thì đổi sản phẩm cho tôi."
width: 40%;,"Đây là lần thứ hai mua cam này của Tiki Trading.
Không hài lòng vì Giá đắt hơn nhưng không củ nguồn, không bám dính chuyển động như quảng cáo!
Cho 2 sao vì giao hàng rất nhanh.
Muốn trả lại."
width: 20%;,Sản phẩm mua lần thứ 2 nhưng lần này khá tệ. Camera không kết nối được với điện thoại; không quét được mã QR; không quét được. Nói chung không thể sử dụng được.
